severity,category,trial_tag,stage,path,message
FATAL,scene_extra_objects,3objs/s001/trial_01_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_01_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_01_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_01_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_02_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_02_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_02_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_02_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_03_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_03_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_03_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_03_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_04_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_04_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_04_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_04_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_05_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_05_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_05_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_05_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_06_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_06_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_06_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_06_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_07_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_07_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_07_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_07_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_08_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_08_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_08_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_08_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_09_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_09_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_09_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_09_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_10_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_10_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s001/trial_10_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s001/random_trials/trial_10_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s002/trial_01_r/lgp_split_global,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s002/random_trials/trial_01_r.g,Scene contains extra task objects not present in FINAL_JSON
FATAL,scene_extra_objects,3objs/s002/trial_01_r/lgp_split_smart,scene,/home/leslie/Projects/VLM_LGP/experiments/scenes/fmb/3objs/s002/random_trials/trial_01_r.g,Scene contains extra task objects not present in FINAL_JSON
