path,scenario,trial,nr_r,success,runtime_s,exit_code,timeout,memory_exceeded,memory_peak_mb
experiments/evaluations/LGP/FMB/3objs/s005/trial_06_nr/lgp_combined/trial_meta.json,s005,trial_06,nr,False,62.38,-9,False,True,16059.66
experiments/evaluations/LGP/FMB/3objs/s005/trial_02_r/lgp_combined/trial_meta.json,s005,trial_02,r,False,300.81,-9,True,False,8353.0
experiments/evaluations/LGP/FMB/3objs/s005/trial_08_nr/lgp_combined/trial_meta.json,s005,trial_08,nr,False,79.92,-9,False,True,16002.89
experiments/evaluations/LGP/FMB/3objs/s005/trial_04_r/lgp_combined/trial_meta.json,s005,trial_04,r,False,300.84,-9,True,False,8449.69
experiments/evaluations/LGP/FMB/3objs/s005/trial_07_r/lgp_combined/trial_meta.json,s005,trial_07,r,False,151.55,-9,False,True,16002.65
experiments/evaluations/LGP/FMB/3objs/s005/trial_08_r/lgp_combined/trial_meta.json,s005,trial_08,r,False,155.22,-9,False,True,16109.18
experiments/evaluations/LGP/FMB/3objs/s005/trial_05_nr/lgp_combined/trial_meta.json,s005,trial_05,nr,False,62.08,-9,False,True,16076.86
experiments/evaluations/LGP/FMB/3objs/s005/trial_06_r/lgp_combined/trial_meta.json,s005,trial_06,r,False,300.73,-9,True,False,8543.37
experiments/evaluations/LGP/FMB/3objs/s005/trial_03_r/lgp_combined/trial_meta.json,s005,trial_03,r,False,300.84,-9,True,False,8538.92
experiments/evaluations/LGP/FMB/3objs/s005/trial_10_r/lgp_combined/trial_meta.json,s005,trial_10,r,False,151.06,-9,False,True,16066.77
experiments/evaluations/LGP/FMB/3objs/s005/trial_09_r/lgp_combined/trial_meta.json,s005,trial_09,r,False,300.62,-9,True,False,8416.77
experiments/evaluations/LGP/FMB/3objs/s005/trial_01_r/lgp_combined/trial_meta.json,s005,trial_01,r,False,300.79,-9,True,False,8424.66
experiments/evaluations/LGP/FMB/3objs/s005/trial_05_r/lgp_combined/trial_meta.json,s005,trial_05,r,False,151.18,-9,False,True,16088.44
experiments/evaluations/LGP/FMB/3objs/s005/trial_09_nr/lgp_combined/trial_meta.json,s005,trial_09,nr,False,81.34,-9,False,True,16001.47
experiments/evaluations/LGP/FMB/3objs/s005/trial_10_nr/lgp_combined/trial_meta.json,s005,trial_10,nr,False,62.46,-9,False,True,16077.24
experiments/evaluations/LGP/FMB/3objs/s005/trial_02_nr/lgp_combined/trial_meta.json,s005,trial_02,nr,False,61.75,-9,False,True,16013.57
experiments/evaluations/LGP/FMB/3objs/s005/trial_03_nr/lgp_combined/trial_meta.json,s005,trial_03,nr,False,61.8,-9,False,True,16005.91
experiments/evaluations/LGP/FMB/3objs/s005/trial_04_nr/lgp_combined/trial_meta.json,s005,trial_04,nr,False,80.49,-9,False,True,16012.46
experiments/evaluations/LGP/FMB/3objs/s005/trial_01_nr/lgp_combined/trial_meta.json,s005,trial_01,nr,False,79.84,-9,False,True,16012.34
experiments/evaluations/LGP/FMB/3objs/s005/trial_07_nr/lgp_combined/trial_meta.json,s005,trial_07,nr,False,62.05,-9,False,True,16106.55
experiments/evaluations/LGP/FMB/3objs/s003/trial_06_nr/lgp_combined/trial_meta.json,s003,trial_06,nr,False,223.93,-9,False,True,16010.72
experiments/evaluations/LGP/FMB/3objs/s003/trial_02_r/lgp_combined/trial_meta.json,s003,trial_02,r,False,300.72,-9,True,False,8081.81
experiments/evaluations/LGP/FMB/3objs/s003/trial_08_nr/lgp_combined/trial_meta.json,s003,trial_08,nr,False,222.23,-9,False,True,16001.61
experiments/evaluations/LGP/FMB/3objs/s003/trial_04_r/lgp_combined/trial_meta.json,s003,trial_04,r,False,300.59,-9,True,False,8150.68
experiments/evaluations/LGP/FMB/3objs/s003/trial_07_r/lgp_combined/trial_meta.json,s003,trial_07,r,False,300.79,-9,True,False,7938.53
experiments/evaluations/LGP/FMB/3objs/s003/trial_08_r/lgp_combined/trial_meta.json,s003,trial_08,r,False,300.84,-9,True,False,8551.61
experiments/evaluations/LGP/FMB/3objs/s003/trial_05_nr/lgp_combined/trial_meta.json,s003,trial_05,nr,False,226.19,-9,False,True,16001.89
